Country,Time,NEET,Exp_LMP,STR
AUS,2013,13.015899000000001,0.87,12.022
AUS,2014,12.647472,0.93,12.100999999999999
AUS,2015,11.831610000000001,0.91,12.254000000000001
AUS,2016,11.35215,0.86,12.120999999999999
AUS,2017,10.946128,0.85,11.994000000000002
AUS,2018,10.842403,0.78,11.890999999999998
AUT,2013,10.680032,2.15,9.419
AUT,2014,11.552073,2.18,9.4045
AUT,2015,10.438811,2.21,9.439499999999999
AUT,2016,10.861573,2.25,9.367
AUT,2017,10.806797,2.19,9.3325
AUT,2018,11.101415,2.07,9.2965
BEL,2013,14.977997,2.8,9.6
BEL,2014,15.014685,2.66,9.572
BEL,2015,13.808910000000001,2.39,9.4985
BEL,2016,12.989787,2.27,9.415499999999998
BEL,2017,13.241013,2.24,9.3225
BEL,2018,12.750292,2.1,9.2625
CAN,2013,12.478057000000002,0.8,13.773
CAN,2014,13.403195000000002,0.78,12.794
CAN,2015,13.261123999999999,0.86,12.966
CAN,2016,13.088084,0.9,12.244000000000002
CAN,2017,12.175824,0.78,13.085999999999999
CAN,2018,11.947030999999999,0.7,13.253
CHL,2013,18.750889,0.36,24.677
CHL,2015,17.971138,0.52,22.4265
CHL,2017,18.409889,0.51,20.781
CZE,2013,13.244039,0.53,11.139
CZE,2014,12.489656,0.58,11.764
CZE,2015,12.232547,0.61,11.488
CZE,2016,11.624346000000001,0.53,11.514
CZE,2017,10.906657000000001,0.46,11.616500000000002
CZE,2018,9.991457,0.46,11.908
DNK,2014,11.583735,3.43,12.0665
DNK,2018,12.030656,2.87,11.293499999999998
EST,2013,14.799244,0.66,11.960999999999999
EST,2014,14.499514999999999,0.57,12.260000000000002
EST,2015,12.8484,0.63,12.386500000000002
EST,2016,14.530251999999999,0.74,12.7195
EST,2017,11.751085,0.79,12.8165
EST,2018,12.717611999999999,0.87,12.916
FIN,2013,12.331663,2.6,12.511
FIN,2014,12.966842,2.86,12.59
FIN,2015,14.311735,2.91,12.722000000000001
FIN,2016,13.227513,2.8,13.104500000000002
FIN,2017,12.605042,2.55,13.57
FIN,2018,11.945032000000001,2.21,13.892
FRA,2013,16.340042,2.93,12.747
FRA,2014,16.251742999999998,3.02,12.759
FRA,2015,17.200922,2.97,12.7805
FRA,2016,17.187014,3.0,12.9385
FRA,2017,16.5467,2.85,12.928
FRA,2018,16.096914,2.66,12.9045
DEU,2013,9.683412599999999,1.65,13.413
DEU,2014,9.1729298,1.59,13.223500000000001
DEU,2015,8.567577400000001,1.52,13.129
DEU,2016,9.611374900000001,1.45,13.046500000000002
DEU,2017,9.3432322,1.42,12.927
DEU,2018,9.1876764,1.39,12.798
HUN,2013,20.482632000000002,1.21,11.235499999999998
HUN,2014,17.478123,1.21,11.700500000000002
HUN,2015,15.890547,1.11,11.0325
HUN,2016,15.176572,1.14,10.713000000000001
HUN,2017,14.015918,1.05,10.952000000000002
HUN,2018,13.499011,0.84,11.434000000000001
IRL,2017,13.105398,1.25,13.408
IRL,2018,11.733475,1.04,12.892000000000001
ISR,2013,14.968257000000001,0.74,13.472999999999999
ISR,2014,13.846004,0.72,11.3415
ISR,2015,14.077371,0.68,11.815999999999999
ISR,2016,13.757322,0.63,11.773
ISR,2017,13.562289000000002,0.61,10.4525
ISR,2018,13.345846,0.58,10.511
ITA,2013,26.099258,1.94,12.1215
ITA,2014,27.712953999999996,1.9,12.0625
ITA,2015,27.383543,1.78,12.002500000000001
ITA,2018,23.842592,1.56,10.669
JPN,2013,10.834349000000001,0.39,12.812999999999999
JPN,2014,9.8242168,0.34,12.8445
LVA,2013,15.771196,0.55,8.998999999999999
LVA,2014,14.520842000000002,0.55,8.84
LVA,2015,12.961889,0.55,8.736
LVA,2016,14.443724,0.63,8.8245
LVA,2017,13.85772,0.59,9.406500000000001
LVA,2018,11.176793,0.58,9.616
LTU,2014,14.185811,0.43,7.7555000000000005
LTU,2015,13.743647,0.53,7.696999999999999
LTU,2016,11.403278,0.51,7.484999999999999
LTU,2017,11.22066,0.54,7.659
LTU,2018,10.495108,0.66,7.835
LUX,2013,6.0610460999999995,1.47,9.1465
LUX,2014,8.211834,1.38,9.924
LUX,2015,8.425355,1.34,10.873000000000001
LUX,2017,7.741536099999999,1.38,10.012999999999998
LUX,2018,8.3878117,1.26,9.661999999999999
MEX,2013,22.298733,0.01,29.7875
MEX,2014,22.379407999999998,0.01,26.79
MEX,2015,21.938206,0.01,26.766999999999996
MEX,2016,21.765724,0.01,26.928
MEX,2017,21.198429,0.0,28.505499999999998
MEX,2018,20.878084,0.0,27.8415
NLD,2014,9.2209091,2.77,16.174
NLD,2015,8.2679853,2.55,17.0385
NLD,2016,7.837773299999999,2.36,16.996000000000002
NLD,2017,7.5493064,2.14,17.075000000000003
NLD,2018,6.9547057,1.94,16.8835
NZL,2013,14.114370999999998,0.69,14.8455
NZL,2014,12.936568,0.63,14.6785
NZL,2015,13.294979000000001,0.64,14.514500000000002
NZL,2016,11.323588,0.63,14.485499999999998
NZL,2017,11.173238000000001,0.56,14.767999999999999
NZL,2018,10.16933,0.57,14.672500000000001
NOR,2013,9.0836496,0.83,10.09
NOR,2014,9.275571800000002,0.89,10.027000000000001
NOR,2015,9.158367199999999,0.98,9.914
NOR,2016,9.4090204,1.07,9.661000000000001
NOR,2017,8.816705699999998,0.97,9.761
NOR,2018,8.6749754,0.79,9.5655
POL,2013,16.951569,0.84,10.455
POL,2014,15.841154999999999,0.79,10.6325
POL,2015,15.646258,0.74,9.9695
POL,2016,15.053272,0.69,9.8765
POL,2017,13.255484,0.62,9.762
POL,2018,12.690605,0.5,10.504000000000001
PRT,2013,17.317532999999997,2.23,9.4125
PRT,2014,17.697248000000002,2.13,9.493500000000001
PRT,2015,15.342356,1.91,9.846
PRT,2016,15.615495000000001,1.67,9.6965
PRT,2017,12.430303,1.43,9.506
PRT,2018,11.576732000000002,1.3,9.211
SVK,2013,19.110228,0.62,13.032
SVK,2014,18.712257,0.55,12.997499999999999
SVK,2015,17.206007,0.53,12.564
SVK,2016,15.899045000000001,0.6,12.921
SVK,2017,16.216686,0.56,12.985
SVK,2018,15.148472,0.55,13.018
SVN,2013,13.162342,1.19,10.850000000000001
SVN,2014,13.662683,0.99,10.973500000000001
SVN,2015,14.600477,0.76,10.957
SVN,2016,11.576782000000001,0.73,10.129
SVN,2017,10.914832,0.68,10.0465
SVN,2018,9.6732864,0.61,13.732000000000001
ESP,2013,27.151373,3.53,11.3125
ESP,2014,24.314958999999998,3.11,11.5395
ESP,2015,22.820313,2.58,11.5155
ESP,2016,21.675491,2.3,11.215
ESP,2017,19.869802,2.21,11.209499999999998
ESP,2018,19.058907,2.16,11.190000000000001
SWE,2013,9.364967300000002,2.0,12.375
SWE,2014,9.4477053,1.92,13.013000000000002
SWE,2015,9.077163699999998,1.79,13.332
SWE,2016,8.2297888,1.71,13.0375
SWE,2017,8.041634599999998,1.65,12.940000000000001
SWE,2018,8.858016000000001,1.56,12.311499999999999
CHE,2017,8.400214199999999,1.28,12.001999999999999
CHE,2018,8.0663462,1.17,11.927499999999998
USA,2013,16.004404,0.35,15.365
USA,2014,15.047262,0.28,15.457
USA,2015,14.380192999999998,0.28,15.375
USA,2016,14.118049,0.26,15.39
USA,2017,13.280724,0.24,15.353
USA,2018,12.685773,0.25,15.131
